Timestamp,Makine_Calisma,Insan_Toplam_Calisma,Tespit_Edilen_Insan_Sayisi,Insan_Kirma,Insan_Tasima
0,True,True,1,True,False
1,True,True,1,True,False
2,True,True,1,True,False
3,True,True,1,True,False
4,True,True,1,True,False
5,True,True,1,True,False
6,True,True,1,True,False
7,True,True,1,True,False
8,True,True,1,True,False
9,True,True,3,True,False
10,True,True,1,True,False
11,True,True,1,True,False
12,True,True,1,True,False
13,True,True,1,True,False
14,True,True,1,True,False
15,True,True,1,True,False
16,True,True,1,True,False
17,True,True,1,True,False
18,True,True,1,True,False
19,True,True,1,True,False
20,True,True,1,True,False
21,True,True,1,True,False
22,True,True,1,True,False
23,True,True,1,True,False
24,True,True,1,True,False
25,True,True,1,True,False
26,True,True,2,True,False
27,True,True,1,True,False
28,True,True,1,True,False
29,True,True,1,True,False
30,True,True,1,True,False
31,True,True,1,True,False
32,True,True,1,True,False
33,True,True,1,True,False
34,True,True,1,True,False
35,True,True,1,True,False
36,True,True,1,True,False
37,True,True,1,True,False
38,True,True,1,True,False
39,True,True,1,True,False
40,True,True,1,True,False
41,True,True,1,True,False
42,True,True,1,True,False
43,True,True,1,True,False
44,True,True,1,True,False
45,True,True,1,True,False
46,True,True,1,True,False
47,True,True,1,True,False
48,True,True,1,True,False
49,True,True,1,True,False
50,True,True,1,True,False
51,True,True,1,True,False
52,True,True,1,True,False
53,True,True,1,True,False
54,True,True,1,True,False
55,True,True,1,True,False
56,True,True,1,True,False
57,True,True,1,True,False
58,True,True,1,True,False
59,True,True,1,True,False
60,True,True,1,True,False
61,True,True,1,True,False
62,True,True,1,True,False
63,True,True,1,True,False
64,True,True,1,True,False
65,True,True,1,True,False
66,True,True,1,True,False
67,True,True,1,True,False
68,True,True,1,True,False
69,True,True,1,True,False
70,True,True,1,True,False
71,True,True,1,True,False
72,True,True,1,True,False
73,True,True,1,True,False
74,True,True,1,True,False
75,True,False,1,False,False
76,True,False,1,False,False
77,True,False,1,False,False
78,True,False,1,False,False
79,True,False,1,False,False
80,True,False,1,False,False
81,False,False,1,False,False
82,False,False,1,False,False
83,False,False,1,False,False
84,False,False,1,False,False
85,False,True,1,True,False
86,False,True,1,True,False
87,False,True,1,True,False
88,False,True,1,True,False
89,False,True,1,True,False
90,False,False,1,False,False
91,False,False,1,False,False
92,False,False,1,False,False
93,False,False,1,False,False
94,False,False,1,False,False
95,False,False,1,False,False
96,False,False,1,False,False
97,False,False,1,False,False
98,False,False,1,False,False
99,False,False,1,False,False
100,False,True,1,True,False
101,False,True,1,True,False
102,False,True,1,True,False
103,False,True,1,True,False
104,False,True,1,True,False
105,False,True,1,True,False
106,False,True,1,True,False
107,False,True,1,True,False
108,False,True,1,True,False
109,False,True,1,True,False
110,False,True,1,True,False
111,False,True,1,True,False
112,False,True,1,True,False
113,False,True,1,True,False
114,False,True,1,True,False
115,False,True,1,True,False
116,False,True,1,True,False
117,False,True,1,True,False
118,False,True,1,True,False
119,False,True,1,True,False
120,False,True,1,True,False
121,False,True,1,True,False
122,False,True,1,True,False
123,False,True,1,True,False
124,False,True,1,True,False
125,False,True,1,True,False
126,False,True,1,True,False
127,False,True,1,True,False
128,False,True,1,True,False
129,False,True,1,True,False
130,False,True,1,True,False
131,False,True,1,True,False
132,False,True,1,True,False
133,False,True,1,True,False
134,False,True,1,True,False
135,False,True,1,True,False
136,False,True,1,True,False
137,False,True,1,True,False
138,False,True,1,True,False
139,False,True,1,True,False
140,False,True,1,True,False
141,False,True,1,True,False
142,False,True,1,True,False
143,False,True,1,True,False
144,False,True,1,True,False
145,False,True,1,True,False
146,False,True,1,True,False
147,False,True,1,True,False
148,False,True,1,True,False
149,False,True,1,True,False
150,False,True,1,True,False
151,False,True,1,True,False
152,False,True,1,True,False
153,False,True,1,True,False
154,False,True,1,True,False
155,False,True,1,True,False
156,False,True,1,True,False
157,False,True,1,True,False
158,False,True,1,True,False
159,False,True,1,True,False
160,False,True,1,True,False
161,False,True,1,True,False
162,False,True,1,True,False
163,False,True,1,True,False
164,False,True,1,True,False
165,False,True,1,True,False
166,False,True,1,True,False
167,False,True,1,True,False
168,False,True,1,True,False
169,False,True,1,True,False
170,False,True,1,True,False
171,False,True,1,True,False
172,False,True,1,True,False
173,False,True,1,True,False
