Timestamp,Cam Durumu,Cam Sayisi
1,False,0
2,False,0
3,False,0
4,False,0
5,False,0
6,False,0
7,False,0
8,False,0
9,False,0
10,False,0
11,False,0
12,False,0
13,False,0
14,False,0
15,False,0
16,False,0
17,False,0
18,False,0
19,False,0
20,False,0
21,False,0
22,False,0
23,False,0
24,False,0
25,False,0
26,False,0
27,False,0
28,False,0
29,False,0
30,False,0
31,False,0
32,False,0
33,True,0
34,True,0
35,True,0
36,True,0
37,False,0
38,False,0
39,False,0
40,False,0
41,False,0
42,False,0
43,False,0
44,False,0
45,False,0
46,False,0
47,False,0
48,False,0
49,False,0
50,False,0
51,False,0
52,False,0
53,False,0
54,False,0
55,False,0
56,False,0
57,False,0
58,False,0
59,False,0
60,False,0
61,False,0
62,False,0
63,False,0
64,False,0
65,False,0
66,False,0
67,False,0
68,False,0
69,False,0
70,False,0
71,False,0
72,False,0
73,False,0
74,False,0
75,False,0
76,False,0
77,False,0
78,False,0
79,False,0
80,False,0
81,False,0
82,False,0
83,False,0
84,False,0
85,True,0
86,True,0
87,True,0
88,False,0
89,False,0
90,False,0
91,False,0
92,False,0
93,False,0
94,False,0
95,False,0
96,False,0
97,False,0
98,False,0
99,False,0
100,False,0
101,False,0
102,False,0
103,False,0
104,False,0
105,False,0
106,False,0
107,False,0
108,True,0
109,True,0
110,False,0
111,False,0
112,False,0
113,False,0
114,False,0
115,False,0
116,True,0
117,True,0
118,False,0
119,False,0
120,False,0
121,False,0
122,True,0
123,False,0
124,False,0
125,True,0
126,True,0
127,False,0
128,False,0
129,False,0
130,False,0
131,True,0
132,False,0
133,False,0
134,False,0
135,False,0
136,True,0
137,False,0
138,False,0
139,False,0
140,False,0
141,False,0
142,False,0
143,False,0
144,False,0
145,False,0
146,False,0
147,False,0
148,False,0
149,False,0
150,False,0
151,False,0
152,True,0
153,False,0
154,False,0
155,False,0
156,False,0
157,True,0
158,True,0
159,True,0
160,False,0
161,False,0
162,False,0
163,False,0
164,False,0
165,False,0
166,False,0
167,False,0
168,False,0
169,False,0
170,True,0
171,False,0
172,False,0
173,False,0
174,False,0
175,False,0
176,False,0
177,False,0
178,False,0
179,True,1
180,True,1
181,True,1
182,True,1
183,True,1
184,True,1
185,True,1
186,True,1
187,True,0
188,True,0
189,True,0
190,True,0
191,True,1
192,True,0
193,True,0
194,True,0
195,True,0
196,True,1
197,True,1
198,True,1
199,True,1
200,True,1
201,True,1
202,True,1
203,True,1
204,True,2
205,True,2
206,True,1
207,True,1
208,True,1
209,True,1
210,True,1
211,True,1
212,True,1
213,True,1
214,True,1
215,True,1
216,True,1
217,True,1
218,True,1
219,True,1
220,True,1
221,True,1
222,True,1
223,True,1
224,True,1
225,True,1
226,True,1
227,True,1
228,True,1
229,True,1
230,True,1
231,True,1
232,True,1
233,True,1
234,True,1
235,True,1
236,True,1
237,True,1
238,True,1
239,True,1
240,True,1
241,True,1
242,True,1
243,True,1
244,True,1
245,True,1
246,True,1
247,True,1
248,True,1
249,True,1
250,True,1
251,True,1
252,True,1
253,True,1
254,True,1
255,True,1
256,True,1
257,True,1
258,True,1
259,True,1
260,True,1
261,True,1
262,True,1
263,True,1
264,True,1
265,True,1
266,True,1
267,True,1
268,True,1
269,True,1
270,True,1
271,True,1
272,True,1
273,True,1
274,True,1
275,True,1
276,True,1
277,True,1
278,True,1
279,True,1
